Dates,Website,URLS,PatientID
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",SD,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",ZBI,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",RMBPC,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",CES-D,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",REDCap,redcap.lifespan.org,3
"Jun14,2021",DIS,www.alz.org,3
"Jun13,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"Jun10,2021",Carelike Provider Search,www.communityresourcefinder.org,3
"Jun 9,2021",Aducanumab Approved for Treatment of Alzheimer's,www.alz.org,3
"Jun 9,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"Jun 4,2021",Carelike - Provider Search,www.communityresourcefinder.org,3
"Jun 4,2021",Carelike - Provider Search,www.communityresourcefinder.org,3
"Jun 2,2021",Caregiving - Alzheimer's & Dementia | Alzheimer's Association,www.alz.org,3
"Jun 2,2021",Caregiver Stress | Alzheimer's Association,www.alz.org,3
"Jun 2,2021",Caregiver Stress Check | Alzheimer's Association,www.alz.org,3
"Jun 2,2021",Choosing Care Providers | Alzheimer's Association,www.alz.org,3
"Jun 2,2021",Alzheimer's Association Alzheimer's Disease & Dementia Help,www.alz.org,3
"Jun 1,2021",Health Information National Institute on Aging,www.nia.nih.gov,3
"Jun 1,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"Jun 1,2021",Alzheimers,www.alzconnected.org,3
"Jun 1,2021",Alzheimers,www.alzconnected.org,3
"Jun 1,2021",Wandering | Alzheimer's Association,www.alz.org,3
"Jun 1,2021",Caregiving - Alzheimer's & Dementia | Alzheimer's Association,www.alz.org,3
"May 27,2021",Carelike - Provider Search,www.communityresourcefinder.org,3
"May 27,2021",Carelike - Provider Search,www.communityresourcefinder.org,3
"May 27,2021",Alzheimer's Help & Support Alzheimer's Association,www.alz.org,3
"May 27,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"May 25,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"May 25,2021",In-Home Care | Alzheimer's Association,www.alz.org,3
"May 25,2021",Carelike - Provider Search,www.communityresourcefinder.org,3
"May 25,2021",Today's Caregiver - Caregiver.com,caregiver.com,3
"May 25,2021",The Value of Massage for Caregivers - Caregiver.com,caregiver.com,3
"May 25,2021",Home | The National Alliance for Caregiving,www.caregiving.org,3
"May 25,2021",Home - Family Caregiver Alliance,www.caregiver.org,3
"May 25,2021",UHF Next Step in Care | For Family Caregivers,www.nextstepincare.org,3
"May 25,2021",UHF Next Step in Care |For Family Caregivers,www.nextstepincare.org,3
"May 25,2021",UHF Next Step in Care | Next Step In Care Homepage,www.nextstepincare.org,3
"May 25,2021",AFTD - The Association for Frontotemporal Degeneration,www.theaftd.org,3
"May 25,2021",Home,www.alzheimerscapecod.org,3
"May 24,2021",Caregiving Topics & Elder Care Resource Guide - AgingCare.com,www.agingcare.com,3
"May 24,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"May 24,2021",Alzheimer's Help & Support Alzheimer's Association,www.alz.org,3
"May 24,2021",Treatments for Behavior Alzheimer's Association,www.alz.org,3
"May 24,2021",Daily Care Plan | Alzheimer's Association,www.alz.org,3
"May 24,2021",Food & Eating | Alzheimer's Association,www.alz.org,3
"May 24,2021",Middle-Stage Alzheimer's & Dementia Caregiving,www.alz.org,3
"May 24,2021",Meals on Wheels America,www.mealsonwheelsamerica.org,3
"May 24,2021",Find Meals Meals on Wheels America,www.mealsonwheelsamerica.org,3
"May 20,2021",General Self Care - Family Caregiver Alliance,www.caregiver.org,3
"May 20,2021",Adult Day Care for Alzheimer'S: The First Day - Family Care,www.caregiver.org,3
"May 20,2021",Caring for Yourself - Family Caregiver Alliance,www.caregiver.org,3
"May 20,2021",Home - Family Caregiver Alliance,www.caregiver.org,3
"May 20,2021",Alzheimer's Association | Alzheimer's Disease & Dementia Help,www.alz.org,3
"May 20,2021",Find Your Local Chapter | Alzheimer's Association,www.alz.org,3
"May 20,2021",Alzheimer's Foundation of America Webinar Archives,alzfdn.org,3
"May 20,2021",Alzheimer's Foundation of America,alzfdn.org,3
"May 18, 2021",Alzheimer's Foundation of America Caregiving Resource,alzfdn.org,3
"May 18, 2021",Alzheimer's Foundation of America,alzfdn.org,3
"May 17,2021",UHF Next Step in Care | For Family Caregivers,www.nextstepincare.org,3
"May 17,2021",UHF Next Step in Care | Home with Home Care,www.nextstepincare.org,3
"May 17,2021",UHF Next Step in Care | Next Step In Care Homepage,www.nextstepincare.org,3
